block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
3	1	0.56171	1.7433	n/a	n/a	n/a	n/a	n/a	n/a	0.52642	3	-1	0.1
3	2	0.56086	2.2191	n/a	n/a	n/a	n/a	n/a	n/a	0.49008	3	-2	0.11
3	3	0.55964	1.4328	n/a	n/a	n/a	n/a	n/a	n/a	0.51913	3	-3	0.12
3	4	0.50049	1.2007	n/a	n/a	n/a	n/a	n/a	n/a	0.54797	3	-4	0.13
3	5	0.46494	1.9439	n/a	n/a	n/a	n/a	n/a	n/a	0.53524	3	-5	0.14
3	6	0.59423	1.5951	n/a	n/a	n/a	n/a	n/a	n/a	0.59217	3	-6	0.15
3	7	0.42508	1.2925	n/a	n/a	n/a	n/a	n/a	n/a	0.5125	3	-7	0.16
3	8	0.48592	1.6149	n/a	n/a	n/a	n/a	n/a	n/a	0.4401	3	-8	0.17
3	9	0.44638	1.5489	n/a	n/a	n/a	n/a	n/a	n/a	0.43267	3	-9	0.18
3	10	0.59116	1.7774	n/a	n/a	n/a	n/a	n/a	n/a	0.48549	3	-10	0.19
4	1	0.55025	n/a	0.8	3	1	1	1	4.0583	0.40107	2	-8	n/a
4	2	0.522	n/a	0.64	2	2	1	0	13.294	0.57051	2	-6	n/a
4	3	0.45241	n/a	0.512	1	1	2	0	2.3691	0.55318	2	-4	n/a
4	4	0.42124	n/a	1.25	5	2	1	0	3.4412	0.43237	2	-2	n/a
4	5	0.45972	n/a	0.512	1	2	2	1	3.1707	0.44718	1	-3	n/a
4	6	0.50843	n/a	1	4	1	2	0	7.1332	0.5118	2	-1	n/a
4	7	0.58436	n/a	1.25	5	2	1	0	3.1895	0.54295	2	1	n/a
4	8	0.46705	n/a	0.64	2	2	2	1	2.3195	0.44368	1	0	n/a
4	9	0.57007	n/a	0.8	3	2	2	1	3.8449	0.40268	2	2	n/a
4	10	0.47065	n/a	1	4	2	1	0	2.1135	0.57657	2	4	n/a
4	1	0.5653899999999999	n/a	0.512	1	2	1	0	2.6171	0.48701	2	6	n/a
4	2	0.51093	n/a	0.8	3	1	1	1	4.9475	0.46901	2	8	n/a
4	3	0.50652	n/a	0.512	1	2	1	0	2.1526	0.46032	2	10	n/a
4	4	0.43557	n/a	1	4	2	1	0	2.2978	0.49032	2	12	n/a
4	5	0.56799	n/a	1	4	2	1	0	2.34	0.44716	2	14	n/a
4	6	0.59615	n/a	0.8	3	1	1	1	2.6901	0.53649	2	16	n/a
4	7	0.50654	n/a	0.64	2	1	1	1	6.8962	0.48797	1	15	n/a
4	8	0.5595	n/a	1.25	5	2	1	0	2.8199	0.44572	2	17	n/a
4	9	0.40554	n/a	0.64	2	2	2	1	2.0769	0.57154	1	16	n/a
4	10	0.44347	n/a	1.25	5	2	1	0	2.4473	0.54391	2	18	n/a
6	1	0.54267	n/a	1.6	1	2	1	0	3.05	0.5597	2	20	n/a
6	2	0.56719	n/a	2.5	3	1	1	1	4.3419	0.52125	2	22	n/a
6	3	0.47423	n/a	2.5	3	2	2	1	4.1593	0.46523	2	24	n/a
6	4	0.5219200000000001	n/a	3.9063	5	1	2	0	5.7762	0.40575	2	26	n/a
6	5	0.42917	n/a	3.125	4	2	2	1	4.9235	0.53293	1	25	n/a
6	6	0.44125	n/a	2	2	2	2	1	4.5863	0.5531199999999999	1	24	n/a
6	7	0.49909	n/a	2	2	2	1	0	4.263	0.50583	2	26	n/a
6	8	0.5918099999999999	n/a	3.125	4	2	1	0	4.2653	0.54492	2	28	n/a
6	9	0.49531	n/a	1.6	1	1	2	0	3.5959	0.53707	2	30	n/a
6	10	0.5656	n/a	3.9063	5	2	1	0	5.0341	0.53782	2	32	n/a
1	1	0.41871	3.3786	n/a	n/a	n/a	n/a	n/a	n/a	0.5137699999999999	5	31	0.1
1	2	0.51915	2.3173	n/a	n/a	n/a	n/a	n/a	n/a	0.54256	5	30	0.11
1	3	0.47101	1.9754	n/a	n/a	n/a	n/a	n/a	n/a	0.41362	5	29	0.12
1	4	0.436	1.8628	n/a	n/a	n/a	n/a	n/a	n/a	0.5339	5	28	0.13
1	5	0.50729	1.9464	n/a	n/a	n/a	n/a	n/a	n/a	0.59555	5	27	0.14
1	6	0.49621	2.2797	n/a	n/a	n/a	n/a	n/a	n/a	0.59129	5	26	0.15
1	7	0.59454	1.3614	n/a	n/a	n/a	n/a	n/a	n/a	0.52529	5	25	0.16
1	8	0.52539	0.60908	n/a	n/a	n/a	n/a	n/a	n/a	0.44956	3	24	0.17
1	9	0.50309	1.5235	n/a	n/a	n/a	n/a	n/a	n/a	0.40949	5	23	0.18
1	10	0.50941	0.8636200000000001	n/a	n/a	n/a	n/a	n/a	n/a	0.44303	4	25	0.19
3	1	0.49964	1.5234	n/a	n/a	n/a	n/a	n/a	n/a	0.46929	3	24	0.2
3	2	0.54171	1.9076	n/a	n/a	n/a	n/a	n/a	n/a	0.41878	3	23	0.21
3	3	0.50609	1.6339	n/a	n/a	n/a	n/a	n/a	n/a	0.5294	3	22	0.22
3	4	0.40544	2.0192	n/a	n/a	n/a	n/a	n/a	n/a	0.51297	3	21	0.23
3	5	0.5485100000000001	2.2622	n/a	n/a	n/a	n/a	n/a	n/a	0.57934	4	23	0.24
3	6	0.52817	2.2128	n/a	n/a	n/a	n/a	n/a	n/a	0.56586	3	22	0.23
3	7	0.55557	2.3654	n/a	n/a	n/a	n/a	n/a	n/a	0.54708	4	24	0.24
3	8	0.56287	2.4876	n/a	n/a	n/a	n/a	n/a	n/a	0.52804	4	26	0.23
3	9	0.40911	2.2477	n/a	n/a	n/a	n/a	n/a	n/a	0.48383	3	25	0.22
3	10	0.59495	2.1878	n/a	n/a	n/a	n/a	n/a	n/a	0.4549	3	24	0.23
2	1	0.57565	1.3853	n/a	n/a	n/a	n/a	n/a	n/a	0.44708	3	23	0.1
2	2	0.57059	1.4469	n/a	n/a	n/a	n/a	n/a	n/a	0.42245	3	22	0.11
2	3	0.51283	1.5831	n/a	n/a	n/a	n/a	n/a	n/a	0.44666	4	24	0.12
2	4	0.5664400000000001	1.5749	n/a	n/a	n/a	n/a	n/a	n/a	0.41554	4	26	0.11
2	5	0.59463	1.4597	n/a	n/a	n/a	n/a	n/a	n/a	0.43602	3	25	0.1
2	6	0.50618	1.6543	n/a	n/a	n/a	n/a	n/a	n/a	0.49226	4	27	0.11
2	7	0.46856	1.6422	n/a	n/a	n/a	n/a	n/a	n/a	0.45326	4	29	0.1
2	8	0.52344	1.3401	n/a	n/a	n/a	n/a	n/a	n/a	0.40764	3	28	0.09
2	9	0.43496	1.6164	n/a	n/a	n/a	n/a	n/a	n/a	0.44315	4	30	0.1
2	10	0.43675	1.7188	n/a	n/a	n/a	n/a	n/a	n/a	0.52177	4	32	0.09
1	1	0.5877599999999999	0.61328	n/a	n/a	n/a	n/a	n/a	n/a	0.46749	3	31	0.18
1	2	0.41458	0.95485	n/a	n/a	n/a	n/a	n/a	n/a	0.58107	4	33	0.19
1	3	0.45221	1.0775	n/a	n/a	n/a	n/a	n/a	n/a	0.59927	5	32	0.18
1	4	0.51152	0.35698	n/a	n/a	n/a	n/a	n/a	n/a	0.47264	3	31	0.19
1	5	0.42269	0.71029	n/a	n/a	n/a	n/a	n/a	n/a	0.46822	4	33	0.2
1	6	0.59453	0.72803	n/a	n/a	n/a	n/a	n/a	n/a	0.57121	4	35	0.19
1	7	0.48971	0.43175	n/a	n/a	n/a	n/a	n/a	n/a	0.46486	3	34	0.18
1	8	0.4302	0.54922	n/a	n/a	n/a	n/a	n/a	n/a	0.56471	3	33	0.19
1	9	0.53848	0.78296	n/a	n/a	n/a	n/a	n/a	n/a	0.40645	4	35	0.2
1	10	0.52341	0.97482	n/a	n/a	n/a	n/a	n/a	n/a	0.49463	4	37	0.19
4	1	0.42698	n/a	1.25	5	1	2	0	2.7352	0.44367	2	39	n/a
4	2	0.50535	n/a	1.25	5	2	2	1	4.099	0.40023	1	38	n/a
4	3	0.40609	n/a	0.64	2	2	2	1	5.3927	0.55359	1	37	n/a
4	4	0.5723	n/a	0.64	2	2	2	1	1.9113	0.58989	1	36	n/a
4	5	0.54401	n/a	0.512	1	1	2	0	3.0719	0.51838	2	38	n/a
4	6	0.49427	n/a	0.8	3	1	1	1	1.9042	0.51523	2	40	n/a
4	7	0.44143	n/a	0.512	1	2	2	1	2.2337	0.41244	1	39	n/a
4	8	0.44317	n/a	0.8	3	2	2	1	3.3467	0.5547299999999999	2	41	n/a
4	9	0.56517	n/a	1	4	1	1	1	3.1112	0.5728	1	40	n/a
4	10	0.45725	n/a	1	4	2	1	0	2.1789	0.59232	2	42	n/a
