block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
4	1	0.40169	n/a	0.8	3	1	1	1	6.4363	0.53837	2	2	n/a
4	2	0.48016	n/a	0.512	1	2	1	0	4.6604	0.54112	2	4	n/a
4	3	0.55827	n/a	0.8	3	1	1	1	3.9049	0.41008	2	6	n/a
4	4	0.57483	n/a	1.25	5	2	1	0	4.0207	0.42863	2	8	n/a
4	5	0.51169	n/a	1	4	1	1	1	3.401	0.42028	1	7	n/a
4	6	0.48839	n/a	0.64	2	2	2	1	4.1601	0.46359	1	6	n/a
4	7	0.41491	n/a	0.512	1	1	1	1	3.3258	0.56517	1	5	n/a
4	8	0.58622	n/a	1.25	5	1	2	0	3.3536	0.56463	2	7	n/a
4	9	0.46116	n/a	1	4	2	2	1	4.4126	0.53532	1	6	n/a
4	10	0.4327	n/a	0.64	2	2	2	1	3.4679	0.42208	1	5	n/a
1	1	0.49756	9.7455	n/a	n/a	n/a	n/a	n/a	n/a	0.46209	5	4	0.1
1	2	0.43557	2.2749	n/a	n/a	n/a	n/a	n/a	n/a	0.47926	5	3	0.11
1	3	0.40972	3.235	n/a	n/a	n/a	n/a	n/a	n/a	0.48049	5	2	0.12
1	4	0.41389	1.6659	n/a	n/a	n/a	n/a	n/a	n/a	0.56253	5	1	0.13
1	5	0.59767	0.48368	n/a	n/a	n/a	n/a	n/a	n/a	0.42421	3	0	0.14
1	6	0.43819	1.8697	n/a	n/a	n/a	n/a	n/a	n/a	0.45263	5	-1	0.15
1	7	0.5998	0.81246	n/a	n/a	n/a	n/a	n/a	n/a	0.5904199999999999	4	1	0.16
1	8	0.52611	0.66674	n/a	n/a	n/a	n/a	n/a	n/a	0.50676	4	3	0.15
1	9	0.44069	1.9306	n/a	n/a	n/a	n/a	n/a	n/a	0.46954	5	2	0.14
1	10	0.51359	1.0064	n/a	n/a	n/a	n/a	n/a	n/a	0.48467	5	1	0.15
3	1	0.41593	1.7831	n/a	n/a	n/a	n/a	n/a	n/a	0.59501	3	0	0.1
3	2	0.5426	1.9266	n/a	n/a	n/a	n/a	n/a	n/a	0.58501	3	-1	0.11
3	3	0.42432	0.09767199999999999	n/a	n/a	n/a	n/a	n/a	n/a	0.54527	3	-2	0.12
3	4	0.45175	0.3425	n/a	n/a	n/a	n/a	n/a	n/a	0.44826	3	-3	0.13
3	5	0.59123	2.4131	n/a	n/a	n/a	n/a	n/a	n/a	0.57082	4	-1	0.14
3	6	0.59759	2.397	n/a	n/a	n/a	n/a	n/a	n/a	0.56468	4	1	0.13
3	7	0.52961	0.0023669	n/a	n/a	n/a	n/a	n/a	n/a	0.57189	3	0	0.12
3	8	0.53213	2.7414	n/a	n/a	n/a	n/a	n/a	n/a	0.46211	5	-1	0.13
3	9	0.5144300000000001	0.002792	n/a	n/a	n/a	n/a	n/a	n/a	0.42528	3	-2	0.14
3	10	0.56218	2.3261	n/a	n/a	n/a	n/a	n/a	n/a	0.46886	3	-3	0.15
4	1	0.57858	n/a	0.512	1	2	1	0	3.3008	0.50596	2	-1	n/a
4	2	0.49123	n/a	0.8	3	1	1	1	3.6967	0.4797	2	1	n/a
4	3	0.47293	n/a	1	4	2	2	1	4.3112	0.53269	1	0	n/a
4	4	0.59848	n/a	1.25	5	2	2	1	3.8465	0.46146	1	-1	n/a
4	5	0.54154	n/a	0.64	2	1	1	1	3.718	0.48569	1	-2	n/a
4	6	0.58714	n/a	0.512	1	1	2	0	3.0847	0.50459	2	0	n/a
4	7	0.41773	n/a	0.64	2	2	2	1	3.0228	0.47788	1	-1	n/a
4	8	0.53578	n/a	1.25	5	2	2	1	3.8273	0.56662	1	-2	n/a
4	9	0.52481	n/a	1	4	2	2	1	3.5265	0.49697	1	-3	n/a
4	10	0.41756	n/a	0.8	3	2	2	1	3.3021	0.50423	2	-1	n/a
4	1	0.58861	n/a	0.512	1	2	1	0	4.0671	0.43765	2	1	n/a
4	2	0.59616	n/a	1.25	5	2	1	0	4.0821	0.50358	2	3	n/a
4	3	0.5169	n/a	0.64	2	2	2	1	3.2639	0.44637	1	2	n/a
4	4	0.52989	n/a	0.64	2	1	1	1	3.5834	0.53522	1	1	n/a
4	5	0.42635	n/a	0.8	3	2	2	1	3.7215	0.57791	2	3	n/a
4	6	0.41983	n/a	0.8	3	1	1	1	3.2568	0.43576	2	5	n/a
4	7	0.55242	n/a	1.25	5	2	1	0	3.7683	0.40618	2	7	n/a
4	8	0.46567	n/a	1	4	1	1	1	3.7602	0.51753	1	6	n/a
4	9	0.42615	n/a	0.512	1	1	2	0	2.9156	0.4591	2	8	n/a
4	10	0.49253	n/a	1	4	1	1	1	3.2359	0.52333	1	7	n/a
6	1	0.44487	n/a	3.125	4	1	2	0	6.4178	0.45323	2	9	n/a
6	2	0.53791	n/a	2	2	1	1	1	4.7135	0.54579	1	8	n/a
6	3	0.55481	n/a	1.6	1	2	1	0	3.8132	0.442	2	10	n/a
6	4	0.51922	n/a	2.5	3	1	1	1	5.0093	0.5467	2	12	n/a
6	5	0.46699	n/a	3.125	4	1	2	0	4.9438	0.50726	2	14	n/a
6	6	0.52512	n/a	3.9063	5	1	2	0	5.5525	0.50851	2	16	n/a
6	7	0.48021	n/a	1.6	1	1	1	1	3.7621	0.54238	1	15	n/a
