block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
3	1	0.58672	1.929	n/a	n/a	n/a	n/a	n/a	n/a	0.44315	1	-2	0.1
3	2	0.4034	1.9399	n/a	n/a	n/a	n/a	n/a	n/a	0.56773	1	-4	0.11
3	3	0.42988	2.0624	n/a	n/a	n/a	n/a	n/a	n/a	0.43604	1	-6	0.12
3	4	0.55987	1.8389	n/a	n/a	n/a	n/a	n/a	n/a	0.53056	1	-8	0.13
3	5	0.57603	2.4465	n/a	n/a	n/a	n/a	n/a	n/a	0.58963	2	-4	0.14
3	6	0.50952	1.8436	n/a	n/a	n/a	n/a	n/a	n/a	0.45906	1	-6	0.13
3	7	0.42092	1.8485	n/a	n/a	n/a	n/a	n/a	n/a	0.5279199999999999	1	-8	0.14
3	8	0.47359	2.175	n/a	n/a	n/a	n/a	n/a	n/a	0.52682	1	-10	0.15
3	9	0.50225	2.16	n/a	n/a	n/a	n/a	n/a	n/a	0.54194	1	-12	0.16
3	10	0.59522	2.5299	n/a	n/a	n/a	n/a	n/a	n/a	0.5223	2	-8	0.17
2	1	0.51242	1.2759	n/a	n/a	n/a	n/a	n/a	n/a	0.52283	1	-10	0.1
2	2	0.53847	1.3824	n/a	n/a	n/a	n/a	n/a	n/a	0.52727	1	-12	0.11
2	3	0.5745400000000001	1.5144	n/a	n/a	n/a	n/a	n/a	n/a	0.56169	1	-14	0.12
2	4	0.55579	1.4053	n/a	n/a	n/a	n/a	n/a	n/a	0.49815	1	-16	0.13
2	5	0.44606	1.1518	n/a	n/a	n/a	n/a	n/a	n/a	0.58712	1	-18	0.14
2	6	0.50726	1.5225	n/a	n/a	n/a	n/a	n/a	n/a	0.43309	2	-14	0.15
2	7	0.5989100000000001	1.5352	n/a	n/a	n/a	n/a	n/a	n/a	0.56796	2	-10	0.14
2	8	0.45669	1.6437	n/a	n/a	n/a	n/a	n/a	n/a	0.58135	2	-6	0.13
2	9	0.43322	1.7297	n/a	n/a	n/a	n/a	n/a	n/a	0.5677	2	-2	0.12
2	10	0.50648	1.5611	n/a	n/a	n/a	n/a	n/a	n/a	0.58691	2	2	0.11
3	1	0.41561	1.7701	n/a	n/a	n/a	n/a	n/a	n/a	0.52139	1	0	0.16
3	2	0.51051	1.6898	n/a	n/a	n/a	n/a	n/a	n/a	0.49101	1	-2	0.17
3	3	0.50337	1.8477	n/a	n/a	n/a	n/a	n/a	n/a	0.54316	1	-4	0.18
3	4	0.48162	2.1937	n/a	n/a	n/a	n/a	n/a	n/a	0.44164	1	-6	0.19
3	5	0.54947	1.6897	n/a	n/a	n/a	n/a	n/a	n/a	0.46477	1	-8	0.2
3	6	0.4419	1.6399	n/a	n/a	n/a	n/a	n/a	n/a	0.48748	1	-10	0.21
3	7	0.4517	1.8143	n/a	n/a	n/a	n/a	n/a	n/a	0.57743	1	-12	0.22
3	8	0.50546	1.9746	n/a	n/a	n/a	n/a	n/a	n/a	0.52824	1	-14	0.23
3	9	0.45367	2.0434	n/a	n/a	n/a	n/a	n/a	n/a	0.42659	1	-16	0.24
3	10	0.40398	1.4432	n/a	n/a	n/a	n/a	n/a	n/a	0.43519	1	-18	0.25
4	1	0.5273099999999999	n/a	1.25	5	2	1	0	3.8985	0.4587	2	-16	n/a
4	2	0.51117	n/a	0.8	3	2	2	1	2.6577	0.50237	2	-14	n/a
4	3	0.52534	n/a	0.64	2	2	1	0	2.1916	0.40534	2	-12	n/a
4	4	0.43738	n/a	1.25	5	1	2	0	2.5701	0.45937	2	-10	n/a
4	5	0.5200900000000001	n/a	0.512	1	1	2	0	2.0916	0.4474	2	-8	n/a
4	6	0.55597	n/a	0.512	1	2	1	0	1.8546	0.5135	2	-6	n/a
4	7	0.48328	n/a	0.8	3	2	2	1	1.9614	0.42575	2	-4	n/a
4	8	0.49183	n/a	1	4	1	1	1	3.8231	0.52545	1	-5	n/a
4	9	0.59407	n/a	0.64	2	1	1	1	5.0293	0.46137	1	-6	n/a
4	10	0.5402400000000001	n/a	1	4	1	1	1	2.1342	0.44522	1	-7	n/a
2	1	0.41637	1.4329	n/a	n/a	n/a	n/a	n/a	n/a	0.41008	1	-9	0.1
2	2	0.55677	1.4993	n/a	n/a	n/a	n/a	n/a	n/a	0.56808	1	-11	0.11
2	3	0.51001	1.6866	n/a	n/a	n/a	n/a	n/a	n/a	0.56936	2	-7	0.12
2	4	0.56168	1.6352	n/a	n/a	n/a	n/a	n/a	n/a	0.47183	2	-3	0.11
2	5	0.55851	1.6383	n/a	n/a	n/a	n/a	n/a	n/a	0.57957	2	1	0.1
2	6	0.42413	1.5932	n/a	n/a	n/a	n/a	n/a	n/a	0.40569	2	5	0.09
2	7	0.59055	1.3612	n/a	n/a	n/a	n/a	n/a	n/a	0.473	1	3	0.08
2	8	0.58478	1.6472	n/a	n/a	n/a	n/a	n/a	n/a	0.42272	2	7	0.09
2	9	0.55301	1.6675	n/a	n/a	n/a	n/a	n/a	n/a	0.408	2	11	0.08
2	10	0.51667	1.7079	n/a	n/a	n/a	n/a	n/a	n/a	0.48873	2	15	0.07000000000000001
1	1	0.4147	0.88114	n/a	n/a	n/a	n/a	n/a	n/a	0.49359	2	19	0.1
1	2	0.48648	0.89996	n/a	n/a	n/a	n/a	n/a	n/a	0.44093	1	17	0.09
1	3	0.4636	0.8967000000000001	n/a	n/a	n/a	n/a	n/a	n/a	0.48754	2	21	0.1
1	4	0.41044	1.0229	n/a	n/a	n/a	n/a	n/a	n/a	0.52312	1	19	0.09
1	5	0.44529	0.81581	n/a	n/a	n/a	n/a	n/a	n/a	0.57982	2	23	0.1
1	6	0.5986900000000001	0.79662	n/a	n/a	n/a	n/a	n/a	n/a	0.53181	2	27	0.09
1	7	0.5343599999999999	0.91729	n/a	n/a	n/a	n/a	n/a	n/a	0.5931999999999999	1	25	0.08
1	8	0.43775	0.84252	n/a	n/a	n/a	n/a	n/a	n/a	0.4504	2	29	0.09
