block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
3	1	0.43452	2.4476	n/a	n/a	n/a	n/a	n/a	n/a	0.50467	4	2	0.1
3	2	0.5484	2.202	n/a	n/a	n/a	n/a	n/a	n/a	0.42303	3	1	0.09
3	3	0.44824	2.3064	n/a	n/a	n/a	n/a	n/a	n/a	0.59997	3	0	0.1
3	4	0.49917	2.3639	n/a	n/a	n/a	n/a	n/a	n/a	0.45613	3	-1	0.11
3	5	0.53535	2.2641	n/a	n/a	n/a	n/a	n/a	n/a	0.43261	3	-2	0.12
3	6	0.56533	2.3526	n/a	n/a	n/a	n/a	n/a	n/a	0.44656	3	-3	0.13
3	7	0.5853	2.1177	n/a	n/a	n/a	n/a	n/a	n/a	0.56271	3	-4	0.14
3	8	0.46917	2.6642	n/a	n/a	n/a	n/a	n/a	n/a	0.44517	5	-5	0.15
3	9	0.48073	1.5364	n/a	n/a	n/a	n/a	n/a	n/a	0.54253	3	-6	0.16
3	10	0.52398	1.9317	n/a	n/a	n/a	n/a	n/a	n/a	0.53789	3	-7	0.17
4	1	0.50268	n/a	0.8	3	1	1	1	5.8076	0.42211	2	-5	n/a
4	2	0.41315	n/a	0.512	1	2	1	0	2.7626	0.59424	2	-3	n/a
4	3	0.56521	n/a	0.512	1	1	2	0	3.6502	0.5849299999999999	2	-1	n/a
4	4	0.51172	n/a	0.64	2	1	1	1	3.6183	0.4827	1	-2	n/a
4	5	0.43802	n/a	1	4	1	2	0	3.5564	0.50104	2	0	n/a
4	6	0.48743	n/a	1	4	2	2	1	6.012	0.45924	1	-1	n/a
4	7	0.56267	n/a	1.25	5	1	2	0	3.1875	0.40735	2	1	n/a
4	8	0.57379	n/a	0.64	2	1	2	0	4.0023	0.5101	2	3	n/a
4	9	0.5421899999999999	n/a	1.25	5	2	1	0	3.0667	0.5694399999999999	2	5	n/a
4	10	0.5318000000000001	n/a	0.8	3	2	2	1	2.6832	0.57081	2	7	n/a
6	1	0.49475	n/a	3.125	4	1	2	0	5.0897	0.47798	2	9	n/a
6	2	0.48852	n/a	2.5	3	1	1	1	4.2466	0.58205	2	11	n/a
6	3	0.5622200000000001	n/a	3.9063	5	2	1	0	5.5513	0.59836	2	13	n/a
6	4	0.49306	n/a	3.125	4	2	1	0	5.1372	0.49199	2	15	n/a
6	5	0.40041	n/a	2	2	1	1	1	5.2894	0.45287	1	14	n/a
6	6	0.44264	n/a	3.9063	5	2	1	0	5.3571	0.47816	2	16	n/a
6	7	0.5302	n/a	2.5	3	1	2	0	4.0802	0.52345	1	15	n/a
