block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
1	1	0.48725	6.8782	n/a	n/a	n/a	n/a	n/a	n/a	0.42078	5	-1	0.1
1	2	0.52946	0.58128	n/a	n/a	n/a	n/a	n/a	n/a	0.46822	3	-2	0.11
1	3	0.52472	0.54802	n/a	n/a	n/a	n/a	n/a	n/a	0.40478	3	-3	0.12
1	4	0.58591	0.6575299999999999	n/a	n/a	n/a	n/a	n/a	n/a	0.48267	3	-4	0.13
1	5	0.408	0.93381	n/a	n/a	n/a	n/a	n/a	n/a	0.59673	4	-2	0.14
1	6	0.45452	0.93569	n/a	n/a	n/a	n/a	n/a	n/a	0.51872	5	-3	0.13
1	7	0.4333	0.64255	n/a	n/a	n/a	n/a	n/a	n/a	0.40016	3	-4	0.14
1	8	0.4873	0.61709	n/a	n/a	n/a	n/a	n/a	n/a	0.53583	3	-5	0.15
1	9	0.5321900000000001	1.8688	n/a	n/a	n/a	n/a	n/a	n/a	0.51823	5	-6	0.16
1	10	0.40998	0.84329	n/a	n/a	n/a	n/a	n/a	n/a	0.42261	4	-4	0.17
6	1	0.5804	n/a	3.125	4	2	2	1	11.746	0.40184	1	-5	n/a
6	2	0.45042	n/a	1.6	1	2	1	0	6.1339	0.42308	2	-3	n/a
6	3	0.45873	n/a	3.125	4	2	1	0	6.0479	0.40018	2	-1	n/a
6	4	0.57721	n/a	2	2	1	2	0	3.6784	0.49075	2	1	n/a
6	5	0.52421	n/a	3.9063	5	1	2	0	6.3699	0.54831	2	3	n/a
6	6	0.56413	n/a	2	2	2	1	0	3.6924	0.42259	2	5	n/a
6	7	0.55149	n/a	2.5	3	2	1	0	4.2117	0.59659	1	4	n/a
6	8	0.52867	n/a	2.5	3	2	2	1	4.0851	0.46145	2	6	n/a
6	9	0.5843	n/a	3.9063	5	2	1	0	5.442	0.59094	2	8	n/a
6	10	0.46483	n/a	1.6	1	2	1	0	3.3803	0.41304	2	10	n/a
1	1	0.44255	0.50734	n/a	n/a	n/a	n/a	n/a	n/a	0.47617	3	9	0.16
1	2	0.41465	0.69332	n/a	n/a	n/a	n/a	n/a	n/a	0.41305	4	11	0.17
1	3	0.53235	0.6484799999999999	n/a	n/a	n/a	n/a	n/a	n/a	0.47753	4	13	0.16
1	4	0.48123	0.73177	n/a	n/a	n/a	n/a	n/a	n/a	0.49999	4	15	0.15
1	5	0.43941	0.61346	n/a	n/a	n/a	n/a	n/a	n/a	0.40448	3	14	0.14
1	6	0.47637	0.71127	n/a	n/a	n/a	n/a	n/a	n/a	0.4703	4	16	0.15
1	7	0.48046	1.0692	n/a	n/a	n/a	n/a	n/a	n/a	0.56654	5	15	0.14
1	8	0.49094	0.68519	n/a	n/a	n/a	n/a	n/a	n/a	0.51103	4	17	0.15
1	9	0.5833	0.62753	n/a	n/a	n/a	n/a	n/a	n/a	0.58173	3	16	0.14
