block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
2	1	0.55017	1.1674	n/a	n/a	n/a	n/a	n/a	n/a	0.59744	3	-1	0.1
2	2	0.40908	0.15913	n/a	n/a	n/a	n/a	n/a	n/a	0.58583	3	-2	0.11
2	3	0.42201	1.282	n/a	n/a	n/a	n/a	n/a	n/a	0.5196499999999999	3	-3	0.12
2	4	0.4191	1.2913	n/a	n/a	n/a	n/a	n/a	n/a	0.56376	3	-4	0.13
2	5	0.55013	1.4045	n/a	n/a	n/a	n/a	n/a	n/a	0.5175999999999999	3	-5	0.14
2	6	0.5208700000000001	1.5919	n/a	n/a	n/a	n/a	n/a	n/a	0.5978	4	-3	0.15
2	7	0.46986	1.29	n/a	n/a	n/a	n/a	n/a	n/a	0.43284	3	-4	0.14
2	8	0.43436	1.4998	n/a	n/a	n/a	n/a	n/a	n/a	0.483	3	-5	0.15
2	9	0.55523	1.6013	n/a	n/a	n/a	n/a	n/a	n/a	0.41953	4	-3	0.16
2	10	0.43025	1.5861	n/a	n/a	n/a	n/a	n/a	n/a	0.4391	4	-1	0.15
1	1	0.41619	0.63974	n/a	n/a	n/a	n/a	n/a	n/a	0.43391	3	-2	0.1
1	2	0.54193	0.0028092	n/a	n/a	n/a	n/a	n/a	n/a	0.58395	3	-3	0.11
1	3	0.4878	0.71851	n/a	n/a	n/a	n/a	n/a	n/a	0.52014	4	-1	0.12
1	4	0.47431	0.85483	n/a	n/a	n/a	n/a	n/a	n/a	0.52562	4	1	0.11
1	5	0.40812	0.75947	n/a	n/a	n/a	n/a	n/a	n/a	0.475	4	3	0.1
1	6	0.4847	0.74303	n/a	n/a	n/a	n/a	n/a	n/a	0.58806	4	5	0.09
1	7	0.59294	0.70866	n/a	n/a	n/a	n/a	n/a	n/a	0.47394	3	4	0.08
1	8	0.57634	0.72755	n/a	n/a	n/a	n/a	n/a	n/a	0.56847	4	6	0.09
1	9	0.47236	0.76358	n/a	n/a	n/a	n/a	n/a	n/a	0.5989	4	8	0.08
1	10	0.49551	0.705	n/a	n/a	n/a	n/a	n/a	n/a	0.59781	3	7	0.07000000000000001
3	1	0.5704900000000001	2.0299	n/a	n/a	n/a	n/a	n/a	n/a	0.49872	3	6	0.1
3	2	0.41105	3.0662	n/a	n/a	n/a	n/a	n/a	n/a	0.42279	5	5	0.11
3	3	0.5999100000000001	2.7994	n/a	n/a	n/a	n/a	n/a	n/a	0.41968	5	4	0.12
