block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
2	1	0.55023	1.3389	n/a	n/a	n/a	n/a	n/a	n/a	0.54939	3	-1	0.1
2	2	0.41931	1.3543	n/a	n/a	n/a	n/a	n/a	n/a	0.40538	3	-2	0.11
2	3	0.43641	1.3675	n/a	n/a	n/a	n/a	n/a	n/a	0.56971	3	-3	0.12
2	4	0.4425	1.4478	n/a	n/a	n/a	n/a	n/a	n/a	0.41041	3	-4	0.13
2	5	0.55921	1.6154	n/a	n/a	n/a	n/a	n/a	n/a	0.44776	4	-2	0.14
2	6	0.59111	1.8858	n/a	n/a	n/a	n/a	n/a	n/a	0.54892	5	-3	0.13
2	7	0.41964	1.618	n/a	n/a	n/a	n/a	n/a	n/a	0.55033	4	-1	0.14
2	8	0.48422	1.6174	n/a	n/a	n/a	n/a	n/a	n/a	0.52376	4	1	0.13
2	9	0.44352	1.7209	n/a	n/a	n/a	n/a	n/a	n/a	0.43967	4	3	0.12
2	10	0.43439	1.6842	n/a	n/a	n/a	n/a	n/a	n/a	0.56882	4	5	0.11
3	1	0.50334	2.5954	n/a	n/a	n/a	n/a	n/a	n/a	0.45338	4	7	0.1
3	2	0.42515	2.5637	n/a	n/a	n/a	n/a	n/a	n/a	0.50953	4	9	0.09
3	3	0.55297	2.6386	n/a	n/a	n/a	n/a	n/a	n/a	0.59326	5	8	0.08
3	4	0.41102	2.1816	n/a	n/a	n/a	n/a	n/a	n/a	0.5439000000000001	3	7	0.09
3	5	0.50225	2.6862	n/a	n/a	n/a	n/a	n/a	n/a	0.409	5	6	0.1
3	6	0.41469	2.4962	n/a	n/a	n/a	n/a	n/a	n/a	0.59414	4	8	0.11
3	7	0.54874	2.227	n/a	n/a	n/a	n/a	n/a	n/a	0.56313	3	7	0.1
3	8	0.43572	2.3944	n/a	n/a	n/a	n/a	n/a	n/a	0.40355	4	9	0.11
3	9	0.49942	2.3911	n/a	n/a	n/a	n/a	n/a	n/a	0.56756	3	8	0.1
3	10	0.46702	2.3261	n/a	n/a	n/a	n/a	n/a	n/a	0.42286	3	7	0.11
1	1	0.54444	0.73599	n/a	n/a	n/a	n/a	n/a	n/a	0.56429	4	9	0.1
1	2	0.41177	0.7105	n/a	n/a	n/a	n/a	n/a	n/a	0.46054	4	11	0.09
1	3	0.57043	0.64203	n/a	n/a	n/a	n/a	n/a	n/a	0.45041	3	10	0.08
1	4	0.4608	0.78071	n/a	n/a	n/a	n/a	n/a	n/a	0.58143	4	12	0.09
1	5	0.46054	0.71919	n/a	n/a	n/a	n/a	n/a	n/a	0.4845	3	11	0.08
1	6	0.45737	0.84043	n/a	n/a	n/a	n/a	n/a	n/a	0.50319	4	13	0.09
1	7	0.53367	0.76223	n/a	n/a	n/a	n/a	n/a	n/a	0.58194	4	15	0.08
1	8	0.44904	0.79101	n/a	n/a	n/a	n/a	n/a	n/a	0.4112	4	17	0.07000000000000001
1	9	0.54328	0.78289	n/a	n/a	n/a	n/a	n/a	n/a	0.4332	4	19	0.06
1	10	0.59054	0.80406	n/a	n/a	n/a	n/a	n/a	n/a	0.41926	4	21	0.05
