block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
3	1	0.48076	1.9527	n/a	n/a	n/a	n/a	n/a	n/a	0.50966	3	-1	0.1
3	2	0.47765	1.2819	n/a	n/a	n/a	n/a	n/a	n/a	0.56534	3	-2	0.11
3	3	0.45257	1.2351	n/a	n/a	n/a	n/a	n/a	n/a	0.44024	3	-3	0.12
3	4	0.52355	2.0303	n/a	n/a	n/a	n/a	n/a	n/a	0.47612	3	-4	0.13
3	5	0.4192	2.1257	n/a	n/a	n/a	n/a	n/a	n/a	0.45781	3	-5	0.14
3	6	0.58705	2.5737	n/a	n/a	n/a	n/a	n/a	n/a	0.57957	4	-3	0.15
3	7	0.50808	2.5674	n/a	n/a	n/a	n/a	n/a	n/a	0.49843	4	-1	0.14
3	8	0.43289	2.7436	n/a	n/a	n/a	n/a	n/a	n/a	0.55186	5	-2	0.13
3	9	0.51917	2.0852	n/a	n/a	n/a	n/a	n/a	n/a	0.54352	3	-3	0.14
3	10	0.47231	1.9964	n/a	n/a	n/a	n/a	n/a	n/a	0.56442	3	-4	0.15
3	1	0.57006	2.4124	n/a	n/a	n/a	n/a	n/a	n/a	0.56787	4	-2	0.16
3	2	0.4247	2.754	n/a	n/a	n/a	n/a	n/a	n/a	0.49583	5	-3	0.15
3	3	0.51734	1.7193	n/a	n/a	n/a	n/a	n/a	n/a	0.43865	3	-4	0.16
3	4	0.47543	2.2699	n/a	n/a	n/a	n/a	n/a	n/a	0.59428	3	-5	0.17
3	5	0.51134	2.3622	n/a	n/a	n/a	n/a	n/a	n/a	0.55252	4	-3	0.18
3	6	0.45049	2.2635	n/a	n/a	n/a	n/a	n/a	n/a	0.56128	3	-4	0.17
3	7	0.52895	2.5094	n/a	n/a	n/a	n/a	n/a	n/a	0.55176	4	-2	0.18
3	8	0.50662	2.2108	n/a	n/a	n/a	n/a	n/a	n/a	0.51561	3	-3	0.17
3	9	0.48076	2.2425	n/a	n/a	n/a	n/a	n/a	n/a	0.47677	3	-4	0.18
3	10	0.5075	2.0767	n/a	n/a	n/a	n/a	n/a	n/a	0.47471	3	-5	0.19
3	1	0.53429	2.0418	n/a	n/a	n/a	n/a	n/a	n/a	0.54964	3	-6	0.2
