block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
5	1	0.57581	n/a	1.65	3	2	2	1	6.0534	0.45848	2	2	n/a
5	2	0.40877	n/a	2.5781	5	2	2	1	23.959	0.54139	1	1	n/a
5	3	0.49128	n/a	2.0625	4	2	2	1	6.763	0.45267	1	0	n/a
5	4	0.5658	n/a	1.056	1	2	1	0	5.0393	0.48766	2	2	n/a
5	5	0.45022	n/a	1.056	1	1	1	1	2.6434	0.40464	1	1	n/a
5	6	0.43234	n/a	1.32	2	2	2	1	4.7585	0.51302	1	0	n/a
5	7	0.52557	n/a	2.5781	5	1	2	0	12.703	0.40891	2	2	n/a
5	8	0.41198	n/a	2.0625	4	1	2	0	3.0922	0.58448	2	4	n/a
5	9	0.59836	n/a	1.32	2	1	2	0	3.4045	0.50318	2	6	n/a
5	10	0.46146	n/a	1.65	3	1	2	0	3.6515	0.57219	1	5	n/a
2	1	0.53042	4.7147	n/a	n/a	n/a	n/a	n/a	n/a	0.59909	5	4	0.1
2	2	0.44468	28.163	n/a	n/a	n/a	n/a	n/a	n/a	0.5361	5	3	0.11
2	3	0.48953	5.6509	n/a	n/a	n/a	n/a	n/a	n/a	0.50704	5	2	0.12
2	4	0.59531	18.998	n/a	n/a	n/a	n/a	n/a	n/a	0.58677	5	1	0.13
2	5	0.50322	1.6938	n/a	n/a	n/a	n/a	n/a	n/a	0.40783	4	3	0.14
2	6	0.50773	2.1939	n/a	n/a	n/a	n/a	n/a	n/a	0.49692	5	2	0.13
2	7	0.55902	2.4314	n/a	n/a	n/a	n/a	n/a	n/a	0.4451	5	1	0.14
2	8	0.41947	3.2309	n/a	n/a	n/a	n/a	n/a	n/a	0.45473	5	0	0.15
2	9	0.48752	2.6874	n/a	n/a	n/a	n/a	n/a	n/a	0.55008	5	-1	0.16
2	10	0.46984	0.94944	n/a	n/a	n/a	n/a	n/a	n/a	0.40102	3	-2	0.17
1	1	0.55165	1.476	n/a	n/a	n/a	n/a	n/a	n/a	0.49849	5	-3	0.1
1	2	0.53894	0.30366	n/a	n/a	n/a	n/a	n/a	n/a	0.52084	3	-4	0.11
1	3	0.40551	0.47089	n/a	n/a	n/a	n/a	n/a	n/a	0.52668	3	-5	0.12
1	4	0.42761	0.21104	n/a	n/a	n/a	n/a	n/a	n/a	0.48675	3	-6	0.13
1	5	0.56025	0.34319	n/a	n/a	n/a	n/a	n/a	n/a	0.53267	3	-7	0.14
1	6	0.53172	0.99748	n/a	n/a	n/a	n/a	n/a	n/a	0.54221	5	-8	0.15
1	7	0.59782	0.36406	n/a	n/a	n/a	n/a	n/a	n/a	0.56426	3	-9	0.16
1	8	0.56907	0.29856	n/a	n/a	n/a	n/a	n/a	n/a	0.41988	3	-10	0.17
1	9	0.5954	0.26267	n/a	n/a	n/a	n/a	n/a	n/a	0.57341	3	-11	0.18
1	10	0.42847	1.0238	n/a	n/a	n/a	n/a	n/a	n/a	0.59204	5	-12	0.19
1	1	0.4385	0.58474	n/a	n/a	n/a	n/a	n/a	n/a	0.5504599999999999	3	-13	0.2
1	2	0.43237	0.27404	n/a	n/a	n/a	n/a	n/a	n/a	0.51675	3	-14	0.21
1	3	0.42703	0.29545	n/a	n/a	n/a	n/a	n/a	n/a	0.53901	3	-15	0.22
1	4	0.41213	0.25822	n/a	n/a	n/a	n/a	n/a	n/a	0.42146	3	-16	0.23
1	5	0.49485	0.21176	n/a	n/a	n/a	n/a	n/a	n/a	0.5424600000000001	3	-17	0.24
1	6	0.47415	0.29277	n/a	n/a	n/a	n/a	n/a	n/a	0.59921	3	-18	0.25
1	7	0.58521	0.8399	n/a	n/a	n/a	n/a	n/a	n/a	0.55374	4	-16	0.26
1	8	0.46881	1.4133	n/a	n/a	n/a	n/a	n/a	n/a	0.4945	5	-17	0.25
1	9	0.59371	0.6364	n/a	n/a	n/a	n/a	n/a	n/a	0.4174	4	-15	0.26
