block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
4	1	0.5230399999999999	n/a	1	4	1	2	0	6.4748	0.55881	2	2	n/a
4	2	0.52536	n/a	0.64	2	1	2	0	4.2233	0.5617799999999999	2	4	n/a
4	3	0.51929	n/a	1.25	5	1	2	0	4.162	0.41395	2	6	n/a
4	4	0.50123	n/a	0.64	2	1	2	0	4.5965	0.4528	2	8	n/a
4	5	0.56789	n/a	0.8	3	2	1	0	4.4783	0.49898	1	7	n/a
4	6	0.51198	n/a	0.512	1	1	2	0	2.3472	0.4944	2	9	n/a
4	7	0.55396	n/a	1	4	2	1	0	6.5495	0.52567	2	11	n/a
4	8	0.40172	n/a	0.8	3	2	1	0	6.4422	0.40816	1	10	n/a
4	9	0.59402	n/a	1.25	5	2	1	0	4.6515	0.4183	2	12	n/a
4	10	0.56856	n/a	0.512	1	2	1	0	3.4193	0.42015	2	14	n/a
5	1	0.50645	n/a	1.056	1	2	1	0	4.8467	0.40716	2	16	n/a
5	2	0.55275	n/a	2.5781	5	2	1	0	4.2512	0.42584	2	18	n/a
5	3	0.5067700000000001	n/a	2.5781	5	2	1	0	3.7597	0.51586	2	20	n/a
5	4	0.56554	n/a	1.32	2	2	2	1	8.051600000000001	0.52258	1	19	n/a
5	5	0.51054	n/a	2.0625	4	1	2	0	4.8575	0.40542	2	21	n/a
5	6	0.45596	n/a	1.65	3	1	2	0	7.5845	0.49569	1	20	n/a
5	7	0.59459	n/a	1.32	2	1	2	0	3.5427	0.56292	2	22	n/a
5	8	0.5876400000000001	n/a	1.65	3	1	1	1	2.9483	0.48846	2	24	n/a
5	9	0.51712	n/a	1.056	1	1	2	0	3.7193	0.44257	2	26	n/a
5	10	0.58621	n/a	2.0625	4	2	1	0	4.8372	0.57402	2	28	n/a
4	1	0.57811	n/a	1.25	5	2	1	0	2.8485	0.48112	2	30	n/a
4	2	0.46338	n/a	1.25	5	1	2	0	2.9355	0.45347	2	32	n/a
4	3	0.57503	n/a	0.64	2	2	1	0	3.8089	0.56035	2	34	n/a
4	4	0.45577	n/a	1	4	1	2	0	2.9024	0.47352	2	36	n/a
4	5	0.42481	n/a	0.512	1	2	1	0	3.5617	0.536	2	38	n/a
4	6	0.52815	n/a	0.64	2	1	1	1	5.4128	0.52382	1	37	n/a
4	7	0.58775	n/a	0.512	1	2	1	0	3.744	0.54825	2	39	n/a
4	8	0.4979	n/a	0.8	3	1	1	1	2.3083	0.40809	2	41	n/a
4	9	0.48826	n/a	1	4	1	2	0	2.6763	0.50324	2	43	n/a
4	10	0.50026	n/a	0.8	3	2	1	0	4.3674	0.49603	1	42	n/a
3	1	0.4927	2.6146	n/a	n/a	n/a	n/a	n/a	n/a	0.43735	5	41	0.1
3	2	0.56898	6.2248	n/a	n/a	n/a	n/a	n/a	n/a	0.59757	5	40	0.11
3	3	0.40118	4.6631	n/a	n/a	n/a	n/a	n/a	n/a	0.46123	5	39	0.12
3	4	0.47297	1.7259	n/a	n/a	n/a	n/a	n/a	n/a	0.52556	3	38	0.13
3	5	0.5729	1.8768	n/a	n/a	n/a	n/a	n/a	n/a	0.59108	3	37	0.14
3	6	0.52196	1.9317	n/a	n/a	n/a	n/a	n/a	n/a	0.5119	3	36	0.15
3	7	0.5365799999999999	2.506	n/a	n/a	n/a	n/a	n/a	n/a	0.51625	4	38	0.16
3	8	0.55541	2.3791	n/a	n/a	n/a	n/a	n/a	n/a	0.44706	4	40	0.15
3	9	0.45186	2.4652	n/a	n/a	n/a	n/a	n/a	n/a	0.59402	4	42	0.14
3	10	0.45663	1.8588	n/a	n/a	n/a	n/a	n/a	n/a	0.55367	3	41	0.13
2	1	0.51226	1.2429	n/a	n/a	n/a	n/a	n/a	n/a	0.5943000000000001	3	40	0.1
2	2	0.56392	1.3741	n/a	n/a	n/a	n/a	n/a	n/a	0.51278	3	39	0.11
2	3	0.40936	1.5311	n/a	n/a	n/a	n/a	n/a	n/a	0.59045	4	41	0.12
2	4	0.5618	1.3325	n/a	n/a	n/a	n/a	n/a	n/a	0.44471	3	40	0.11
2	5	0.41423	1.5904	n/a	n/a	n/a	n/a	n/a	n/a	0.54575	4	42	0.12
2	6	0.52601	1.5431	n/a	n/a	n/a	n/a	n/a	n/a	0.5946900000000001	4	44	0.11
2	7	0.53287	1.5446	n/a	n/a	n/a	n/a	n/a	n/a	0.5741000000000001	3	43	0.1
2	8	0.55516	2.2007	n/a	n/a	n/a	n/a	n/a	n/a	0.52878	5	42	0.11
2	9	0.51708	1.3918	n/a	n/a	n/a	n/a	n/a	n/a	0.47993	3	41	0.12
2	10	0.57148	2.0552	n/a	n/a	n/a	n/a	n/a	n/a	0.44378	5	40	0.13
5	1	0.56826	n/a	1.32	2	2	2	1	4.3612	0.49948	1	39	n/a
5	2	0.4209	n/a	2.5781	5	2	1	0	5.5125	0.42844	2	41	n/a
5	3	0.54695	n/a	2.0625	4	2	1	0	5.0697	0.56079	2	43	n/a
5	4	0.46073	n/a	1.056	1	2	1	0	2.474	0.40208	2	45	n/a
5	5	0.55294	n/a	1.32	2	1	2	0	3.0142	0.46933	2	47	n/a
5	6	0.53624	n/a	1.056	1	1	2	0	3.5534	0.40932	2	49	n/a
5	7	0.59045	n/a	1.65	3	1	2	0	5.5461	0.43625	1	48	n/a
5	8	0.47903	n/a	2.5781	5	2	1	0	3.9758	0.5347499999999999	2	50	n/a
5	9	0.47848	n/a	2.0625	4	2	1	0	3.5348	0.44018	2	52	n/a
5	10	0.42625	n/a	1.65	3	1	1	1	3.3794	0.48791	2	54	n/a
5	1	0.42026	n/a	1.65	3	2	1	0	4.9476	0.55235	1	53	n/a
5	2	0.5819299999999999	n/a	1.056	1	1	2	0	3.3327	0.4801	2	55	n/a
5	3	0.48672	n/a	2.0625	4	1	2	0	3.8805	0.52047	2	57	n/a
5	4	0.43494	n/a	2.5781	5	1	2	0	4.0048	0.41729	2	59	n/a
5	5	0.54306	n/a	1.32	2	1	2	0	3.8798	0.42036	2	61	n/a
5	6	0.41867	n/a	1.056	1	1	2	0	2.5102	0.54762	2	63	n/a
5	7	0.52535	n/a	1.65	3	2	2	1	3.534	0.40546	2	65	n/a
5	8	0.58063	n/a	2.0625	4	2	1	0	3.7499	0.40236	2	67	n/a
5	9	0.48617	n/a	1.32	2	1	2	0	5.1247	0.46308	2	69	n/a
5	10	0.52667	n/a	2.5781	5	2	1	0	3.8561	0.40066	2	71	n/a
3	1	0.4099	15.504	n/a	n/a	n/a	n/a	n/a	n/a	0.46637	5	70	0.14
3	2	0.54845	2.3527	n/a	n/a	n/a	n/a	n/a	n/a	0.45605	4	72	0.15
3	3	0.46347	1.7739	n/a	n/a	n/a	n/a	n/a	n/a	0.44474	3	71	0.14
3	4	0.45738	1.8946	n/a	n/a	n/a	n/a	n/a	n/a	0.5177	3	70	0.15
3	5	0.58483	1.8382	n/a	n/a	n/a	n/a	n/a	n/a	0.42319	3	69	0.16
3	6	0.57505	2.3984	n/a	n/a	n/a	n/a	n/a	n/a	0.46402	4	71	0.17
3	7	0.4605	2.3509	n/a	n/a	n/a	n/a	n/a	n/a	0.54798	4	73	0.16
3	8	0.50375	1.7863	n/a	n/a	n/a	n/a	n/a	n/a	0.4079	3	72	0.15
3	9	0.5127699999999999	2.6071	n/a	n/a	n/a	n/a	n/a	n/a	0.43666	4	74	0.16
3	10	0.53786	3.0909	n/a	n/a	n/a	n/a	n/a	n/a	0.56215	5	73	0.15
2	1	0.48668	1.5053	n/a	n/a	n/a	n/a	n/a	n/a	0.44333	3	72	0.14
2	2	0.46458	1.724	n/a	n/a	n/a	n/a	n/a	n/a	0.47594	4	74	0.15
2	3	0.53974	1.7511	n/a	n/a	n/a	n/a	n/a	n/a	0.45852	4	76	0.14
2	4	0.44112	1.8123	n/a	n/a	n/a	n/a	n/a	n/a	0.4087	5	75	0.13
2	5	0.42847	1.8299	n/a	n/a	n/a	n/a	n/a	n/a	0.41418	5	74	0.14
2	6	0.58177	1.0227	n/a	n/a	n/a	n/a	n/a	n/a	0.50915	3	73	0.15
2	7	0.42385	1.6827	n/a	n/a	n/a	n/a	n/a	n/a	0.55803	4	75	0.16
2	8	0.54367	2.3292	n/a	n/a	n/a	n/a	n/a	n/a	0.50854	5	74	0.15
2	9	0.54187	1.5723	n/a	n/a	n/a	n/a	n/a	n/a	0.43454	4	76	0.16
2	10	0.52046	1.9837	n/a	n/a	n/a	n/a	n/a	n/a	0.59212	5	75	0.15
1	1	0.51114	0.5543400000000001	n/a	n/a	n/a	n/a	n/a	n/a	0.40008	3	74	0.1
1	2	0.43748	0.64254	n/a	n/a	n/a	n/a	n/a	n/a	0.48596	3	73	0.11
1	3	0.53701	1.0799	n/a	n/a	n/a	n/a	n/a	n/a	0.53149	5	72	0.12
1	4	0.47385	0.60347	n/a	n/a	n/a	n/a	n/a	n/a	0.5908099999999999	3	71	0.13
1	5	0.58754	0.79319	n/a	n/a	n/a	n/a	n/a	n/a	0.45944	4	73	0.14
1	6	0.46114	0.76815	n/a	n/a	n/a	n/a	n/a	n/a	0.56515	4	75	0.13
1	7	0.41652	0.68108	n/a	n/a	n/a	n/a	n/a	n/a	0.5249200000000001	4	77	0.12
1	8	0.44699	0.61652	n/a	n/a	n/a	n/a	n/a	n/a	0.40706	3	76	0.11
1	9	0.53684	0.67506	n/a	n/a	n/a	n/a	n/a	n/a	0.58027	3	75	0.12
1	10	0.42016	0.7282	n/a	n/a	n/a	n/a	n/a	n/a	0.50886	4	77	0.13
6	1	0.45829	n/a	2.5	3	2	1	0	9.7821	0.53768	1	76	n/a
6	2	0.44268	n/a	3.9063	5	2	1	0	6.245	0.46222	2	78	n/a
6	3	0.44421	n/a	3.9063	5	1	2	0	5.4479	0.40274	2	80	n/a
6	4	0.46935	n/a	3.125	4	1	2	0	5.3116	0.52696	2	82	n/a
6	5	0.41973	n/a	3.125	4	1	2	0	4.6067	0.47763	2	84	n/a
6	6	0.49549	n/a	2.5	3	1	2	0	3.8467	0.57541	1	83	n/a
6	7	0.41308	n/a	1.6	1	2	1	0	3.1416	0.51872	2	85	n/a
6	8	0.59815	n/a	2	2	2	2	1	3.4252	0.4391	1	84	n/a
6	9	0.5788	n/a	1.6	1	2	1	0	3.9151	0.59887	2	86	n/a
6	10	0.41042	n/a	2	2	2	1	0	4.0597	0.4788	2	88	n/a
1	1	0.47939	0.71177	n/a	n/a	n/a	n/a	n/a	n/a	0.52477	4	90	0.12
1	2	0.40409	0.57346	n/a	n/a	n/a	n/a	n/a	n/a	0.59931	3	89	0.11
1	3	0.57744	1.1287	n/a	n/a	n/a	n/a	n/a	n/a	0.57058	5	88	0.12
1	4	0.5614	0.79477	n/a	n/a	n/a	n/a	n/a	n/a	0.40201	4	90	0.13
1	5	0.47336	1.071	n/a	n/a	n/a	n/a	n/a	n/a	0.5515099999999999	5	89	0.12
1	6	0.51945	0.68367	n/a	n/a	n/a	n/a	n/a	n/a	0.40688	4	91	0.13
1	7	0.5266	0.66032	n/a	n/a	n/a	n/a	n/a	n/a	0.43484	3	90	0.12
1	8	0.57809	0.9458800000000001	n/a	n/a	n/a	n/a	n/a	n/a	0.56809	5	89	0.13
1	9	0.55054	0.98916	n/a	n/a	n/a	n/a	n/a	n/a	0.48202	5	88	0.14
1	10	0.47526	0.29479	n/a	n/a	n/a	n/a	n/a	n/a	0.42779	3	87	0.15
5	1	0.4587	n/a	1.32	2	2	2	1	5.6899	0.5047	1	86	n/a
5	2	0.59143	n/a	2.0625	4	1	1	1	5.3333	0.5778	1	85	n/a
5	3	0.51076	n/a	2.5781	5	2	1	0	5.0766	0.47126	2	87	n/a
5	4	0.44085	n/a	2.5781	5	1	1	1	8.065	0.54133	1	86	n/a
5	5	0.41782	n/a	1.65	3	2	1	0	7.2091	0.49705	1	85	n/a
5	6	0.47693	n/a	1.32	2	2	1	0	2.983	0.48076	2	87	n/a
5	7	0.55265	n/a	1.056	1	1	2	0	3.6255	0.56676	2	89	n/a
5	8	0.57925	n/a	1.65	3	2	2	1	3.7322	0.57418	2	91	n/a
5	9	0.49812	n/a	2.0625	4	2	1	0	3.5911	0.44289	2	93	n/a
5	10	0.47782	n/a	1.056	1	2	1	0	3.74	0.59754	2	95	n/a
1	1	0.53639	0.43016	n/a	n/a	n/a	n/a	n/a	n/a	0.44788	3	94	0.16
1	2	0.58134	0.67972	n/a	n/a	n/a	n/a	n/a	n/a	0.55783	4	96	0.17
1	3	0.5613	0.84395	n/a	n/a	n/a	n/a	n/a	n/a	0.5493	4	98	0.16
1	4	0.53315	0.96706	n/a	n/a	n/a	n/a	n/a	n/a	0.41612	5	97	0.15
