block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
2	1	0.50049	1.3952	n/a	n/a	n/a	n/a	n/a	n/a	0.51707	3	-1	0.1
2	2	0.5511	1.5214	n/a	n/a	n/a	n/a	n/a	n/a	0.44741	3	-2	0.11
2	3	0.44972	1.5828	n/a	n/a	n/a	n/a	n/a	n/a	0.57846	4	0	0.12
2	4	0.56913	1.5418	n/a	n/a	n/a	n/a	n/a	n/a	0.53071	4	2	0.11
2	5	0.55762	1.6176	n/a	n/a	n/a	n/a	n/a	n/a	0.59739	4	4	0.1
2	6	0.59859	1.6676	n/a	n/a	n/a	n/a	n/a	n/a	0.46113	4	6	0.09
2	7	0.40558	1.739	n/a	n/a	n/a	n/a	n/a	n/a	0.46778	5	5	0.08
2	8	0.4515	1.577	n/a	n/a	n/a	n/a	n/a	n/a	0.42033	4	7	0.09
2	9	0.49562	1.563	n/a	n/a	n/a	n/a	n/a	n/a	0.56735	3	6	0.08
2	10	0.52459	1.6663	n/a	n/a	n/a	n/a	n/a	n/a	0.50279	4	8	0.09
6	1	0.40765	n/a	1.6	1	1	2	0	3.7405	0.57909	2	10	n/a
6	2	0.55457	n/a	3.125	4	2	2	1	6.1452	0.57669	1	9	n/a
6	3	0.4477	n/a	2.5	3	1	1	1	3.6074	0.46761	2	11	n/a
6	4	0.47692	n/a	3.9063	5	2	1	0	5.4201	0.56458	2	13	n/a
6	5	0.55269	n/a	2	2	1	2	0	3.431	0.58228	2	15	n/a
6	6	0.48709	n/a	2.5	3	2	1	0	5.2598	0.5857599999999999	1	14	n/a
6	7	0.44943	n/a	1.6	1	2	1	0	2.9215	0.54753	2	16	n/a
6	8	0.43753	n/a	3.9063	5	1	2	0	5.0959	0.4557	2	18	n/a
6	9	0.56245	n/a	3.125	4	2	2	1	4.4396	0.43297	1	17	n/a
6	10	0.417	n/a	2	2	1	2	0	3.3179	0.47061	2	19	n/a
2	1	0.57444	1.5498	n/a	n/a	n/a	n/a	n/a	n/a	0.48083	3	18	0.08
2	2	0.47317	1.4941	n/a	n/a	n/a	n/a	n/a	n/a	0.58445	3	17	0.09
