block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
5	1	0.53329	n/a	2.0625	4	2	1	0	3.6596	0.41168	2	2	n/a
5	2	0.43771	n/a	1.65	3	2	2	1	3.2201	0.56919	2	4	n/a
5	3	0.41284	n/a	2.5781	5	1	2	0	3.9591	0.50142	2	6	n/a
5	4	0.53332	n/a	1.65	3	2	2	1	3.2753	0.54671	2	8	n/a
5	5	0.54072	n/a	1.056	1	1	2	0	3.0308	0.41052	2	10	n/a
5	6	0.47027	n/a	2.5781	5	2	1	0	4.1631	0.49996	2	12	n/a
5	7	0.44565	n/a	1.32	2	2	2	1	2.98	0.41205	1	11	n/a
5	8	0.5679999999999999	n/a	2.0625	4	1	2	0	3.5884	0.48569	2	13	n/a
5	9	0.44154	n/a	1.32	2	2	1	0	3.6694	0.45035	2	15	n/a
5	10	0.5195	n/a	1.056	1	1	2	0	3.1778	0.43994	2	17	n/a
3	1	0.49898	2.1251	n/a	n/a	n/a	n/a	n/a	n/a	0.42901	3	16	0.1
3	2	0.55907	2.4753	n/a	n/a	n/a	n/a	n/a	n/a	0.51122	4	18	0.11
3	3	0.45386	2.1571	n/a	n/a	n/a	n/a	n/a	n/a	0.5426800000000001	3	17	0.1
3	4	0.53387	2.4135	n/a	n/a	n/a	n/a	n/a	n/a	0.40245	4	19	0.11
3	5	0.56536	0.058805	n/a	n/a	n/a	n/a	n/a	n/a	0.44539	3	18	0.1
3	6	0.5803	2.5038	n/a	n/a	n/a	n/a	n/a	n/a	0.417	4	20	0.11
3	7	0.56489	2.4361	n/a	n/a	n/a	n/a	n/a	n/a	0.535	4	22	0.1
3	8	0.49845	2.6344	n/a	n/a	n/a	n/a	n/a	n/a	0.41624	5	21	0.09
3	9	0.52196	2.3175	n/a	n/a	n/a	n/a	n/a	n/a	0.56516	3	20	0.1
3	10	0.43154	2.9541	n/a	n/a	n/a	n/a	n/a	n/a	0.46984	5	19	0.11
2	1	0.40326	2.0056	n/a	n/a	n/a	n/a	n/a	n/a	0.54197	5	18	0.1
2	2	0.5518999999999999	1.345	n/a	n/a	n/a	n/a	n/a	n/a	0.54121	3	17	0.11
2	3	0.50518	1.8635	n/a	n/a	n/a	n/a	n/a	n/a	0.41762	5	16	0.12
2	4	0.43721	1.51	n/a	n/a	n/a	n/a	n/a	n/a	0.45593	3	15	0.13
2	5	0.5278	1.5796	n/a	n/a	n/a	n/a	n/a	n/a	0.57587	4	17	0.14
