block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
2	1	0.50186	1.9964	n/a	n/a	n/a	n/a	n/a	n/a	0.58446	5	-1	0.1
2	2	0.56223	1.4227	n/a	n/a	n/a	n/a	n/a	n/a	0.43373	3	-2	0.11
2	3	0.43984	2.0253	n/a	n/a	n/a	n/a	n/a	n/a	0.50992	5	-3	0.12
2	4	0.43646	1.6395	n/a	n/a	n/a	n/a	n/a	n/a	0.57093	4	-1	0.13
2	5	0.50854	1.7675	n/a	n/a	n/a	n/a	n/a	n/a	0.49884	4	1	0.12
2	6	0.59839	1.562	n/a	n/a	n/a	n/a	n/a	n/a	0.47186	4	3	0.11
2	7	0.52142	1.5259	n/a	n/a	n/a	n/a	n/a	n/a	0.56198	3	2	0.1
2	8	0.5131	1.726	n/a	n/a	n/a	n/a	n/a	n/a	0.5517300000000001	4	4	0.11
2	9	0.44531	1.6963	n/a	n/a	n/a	n/a	n/a	n/a	0.57601	4	6	0.1
2	10	0.57114	2.0746	n/a	n/a	n/a	n/a	n/a	n/a	0.597	5	5	0.09
6	1	0.55705	n/a	2.5	3	1	2	0	7.5986	0.55056	1	4	n/a
6	2	0.52752	n/a	2	2	2	2	1	5.7291	0.42469	1	3	n/a
6	3	0.44482	n/a	3.9063	5	1	2	0	6.0387	0.5424600000000001	2	5	n/a
6	4	0.54722	n/a	3.125	4	2	2	1	4.7592	0.44805	1	4	n/a
6	5	0.59678	n/a	3.125	4	2	2	1	6.9198	0.45715	1	3	n/a
6	6	0.58629	n/a	1.6	1	2	1	0	8.088699999999999	0.45982	2	5	n/a
6	7	0.47848	n/a	2	2	1	2	0	4.108	0.53589	2	7	n/a
6	8	0.42824	n/a	3.9063	5	2	1	0	5.4003	0.40033	2	9	n/a
6	9	0.44234	n/a	1.6	1	1	2	0	2.6637	0.50835	2	11	n/a
6	10	0.57002	n/a	2.5	3	1	1	1	3.7339	0.54767	2	13	n/a
5	1	0.40829	n/a	1.32	2	2	1	0	4.5465	0.42877	2	15	n/a
5	2	0.44765	n/a	1.65	3	2	2	1	3.5845	0.44865	2	17	n/a
5	3	0.56519	n/a	1.65	3	2	1	0	2.9177	0.51097	1	16	n/a
5	4	0.49635	n/a	1.056	1	2	1	0	1.9422	0.50873	2	18	n/a
5	5	0.57412	n/a	2.0625	4	2	1	0	4.0289	0.59222	2	20	n/a
5	6	0.44856	n/a	2.5781	5	2	1	0	4.8633	0.58352	2	22	n/a
5	7	0.44208	n/a	2.0625	4	1	2	0	3.5024	0.46116	2	24	n/a
5	8	0.42283	n/a	1.32	2	2	1	0	3.2196	0.4506	2	26	n/a
5	9	0.50007	n/a	1.056	1	1	2	0	2.4792	0.42498	2	28	n/a
5	10	0.4806	n/a	2.5781	5	1	1	1	4.6534	0.45028	1	27	n/a
1	1	0.45328	1.3966	n/a	n/a	n/a	n/a	n/a	n/a	0.5407	5	26	0.1
1	2	0.58832	2.8296	n/a	n/a	n/a	n/a	n/a	n/a	0.4117	5	25	0.11
1	3	0.44674	1.1575	n/a	n/a	n/a	n/a	n/a	n/a	0.50367	5	24	0.12
1	4	0.5595599999999999	0.74953	n/a	n/a	n/a	n/a	n/a	n/a	0.40273	4	26	0.13
1	5	0.48512	0.94768	n/a	n/a	n/a	n/a	n/a	n/a	0.50454	5	25	0.12
1	6	0.58702	0.52833	n/a	n/a	n/a	n/a	n/a	n/a	0.49915	3	24	0.13
1	7	0.57259	0.49113	n/a	n/a	n/a	n/a	n/a	n/a	0.40698	3	23	0.14
1	8	0.40297	0.85498	n/a	n/a	n/a	n/a	n/a	n/a	0.49045	4	25	0.15
1	9	0.45851	1.1	n/a	n/a	n/a	n/a	n/a	n/a	0.59027	5	24	0.14
1	10	0.4443	0.65835	n/a	n/a	n/a	n/a	n/a	n/a	0.5757100000000001	4	26	0.15
3	1	0.57304	2.2354	n/a	n/a	n/a	n/a	n/a	n/a	0.43834	3	25	0.1
3	2	0.53403	2.1087	n/a	n/a	n/a	n/a	n/a	n/a	0.5061	3	24	0.11
3	3	0.54739	2.056	n/a	n/a	n/a	n/a	n/a	n/a	0.5885899999999999	3	23	0.12
3	4	0.49122	1.7445	n/a	n/a	n/a	n/a	n/a	n/a	0.49914	3	22	0.13
3	5	0.51407	1.8859	n/a	n/a	n/a	n/a	n/a	n/a	0.55122	3	21	0.14
3	6	0.51302	2.3101	n/a	n/a	n/a	n/a	n/a	n/a	0.40375	3	20	0.15
3	7	0.5254799999999999	2.4054	n/a	n/a	n/a	n/a	n/a	n/a	0.53098	4	22	0.16
3	8	0.51164	1.7921	n/a	n/a	n/a	n/a	n/a	n/a	0.49642	3	21	0.15
3	9	0.55621	2.1002	n/a	n/a	n/a	n/a	n/a	n/a	0.59944	3	20	0.16
3	10	0.41381	2.4108	n/a	n/a	n/a	n/a	n/a	n/a	0.42209	4	22	0.17
2	1	0.57559	2.0592	n/a	n/a	n/a	n/a	n/a	n/a	0.4257	5	21	0.1
2	2	0.48899	1.3481	n/a	n/a	n/a	n/a	n/a	n/a	0.5204	3	20	0.11
2	3	0.5459000000000001	1.4555	n/a	n/a	n/a	n/a	n/a	n/a	0.42623	3	19	0.12
2	4	0.48994	1.3279	n/a	n/a	n/a	n/a	n/a	n/a	0.49231	3	18	0.13
2	5	0.51053	1.7733	n/a	n/a	n/a	n/a	n/a	n/a	0.4228	4	20	0.14
2	6	0.57616	1.8301	n/a	n/a	n/a	n/a	n/a	n/a	0.59833	5	19	0.13
2	7	0.465	1.8879	n/a	n/a	n/a	n/a	n/a	n/a	0.49803	5	18	0.14
2	8	0.44647	2.1453	n/a	n/a	n/a	n/a	n/a	n/a	0.43013	5	17	0.15
2	9	0.44358	2.0767	n/a	n/a	n/a	n/a	n/a	n/a	0.5877	5	16	0.16
2	10	0.49699	1.7276	n/a	n/a	n/a	n/a	n/a	n/a	0.44524	4	18	0.17
6	1	0.5453	n/a	2	2	2	1	0	5.0791	0.49836	2	20	n/a
6	2	0.47875	n/a	3.125	4	2	2	1	4.4526	0.53986	1	19	n/a
6	3	0.51451	n/a	2.5	3	1	2	0	4.5574	0.5424600000000001	1	18	n/a
6	4	0.41961	n/a	3.125	4	2	2	1	5.2366	0.41368	1	17	n/a
6	5	0.45608	n/a	2.5	3	2	2	1	4.1409	0.43487	2	19	n/a
6	6	0.48469	n/a	3.9063	5	1	2	0	5.2929	0.4116	2	21	n/a
6	7	0.53487	n/a	3.9063	5	1	2	0	5.2953	0.57729	2	23	n/a
6	8	0.51583	n/a	2	2	1	1	1	3.5951	0.43436	1	22	n/a
6	9	0.4251	n/a	1.6	1	2	1	0	3.1885	0.54689	2	24	n/a
6	10	0.44759	n/a	1.6	1	2	1	0	3.0483	0.49428	2	26	n/a
1	1	0.43215	1.3839	n/a	n/a	n/a	n/a	n/a	n/a	0.4951	5	25	0.14
1	2	0.58828	0.89388	n/a	n/a	n/a	n/a	n/a	n/a	0.44286	4	27	0.15
1	3	0.52457	0.76757	n/a	n/a	n/a	n/a	n/a	n/a	0.48671	4	29	0.14
1	4	0.4636	0.68269	n/a	n/a	n/a	n/a	n/a	n/a	0.41394	4	31	0.13
1	5	0.44988	0.4808	n/a	n/a	n/a	n/a	n/a	n/a	0.58639	3	30	0.12
1	6	0.43474	0.59906	n/a	n/a	n/a	n/a	n/a	n/a	0.45621	3	29	0.13
1	7	0.41083	0.50893	n/a	n/a	n/a	n/a	n/a	n/a	0.51311	3	28	0.14
1	8	0.5519500000000001	0.74958	n/a	n/a	n/a	n/a	n/a	n/a	0.49118	4	30	0.15
1	9	0.56678	0.92949	n/a	n/a	n/a	n/a	n/a	n/a	0.5184	4	32	0.14
1	10	0.53911	0.75746	n/a	n/a	n/a	n/a	n/a	n/a	0.57908	4	34	0.13
4	1	0.57325	n/a	0.8	3	2	2	1	2.3089	0.56276	2	36	n/a
4	2	0.51486	n/a	1.25	5	2	1	0	2.553	0.49085	2	38	n/a
4	3	0.44534	n/a	1	4	2	2	1	2.073	0.5073	1	37	n/a
4	4	0.51137	n/a	1.25	5	2	1	0	3.2353	0.44511	2	39	n/a
4	5	0.55393	n/a	0.64	2	2	2	1	2.2934	0.52425	1	38	n/a
4	6	0.5772699999999999	n/a	1	4	2	2	1	2.7668	0.45792	1	37	n/a
4	7	0.50583	n/a	0.8	3	2	2	1	2.4642	0.56711	2	39	n/a
4	8	0.55041	n/a	0.512	1	1	2	0	1.9861	0.5911	2	41	n/a
4	9	0.40395	n/a	0.64	2	1	1	1	3.2048	0.5600000000000001	1	40	n/a
4	10	0.4201	n/a	0.512	1	2	2	1	1.7733	0.45654	1	39	n/a
6	1	0.45455	n/a	3.125	4	1	2	0	4.6466	0.41464	2	41	n/a
6	2	0.49781	n/a	3.9063	5	1	2	0	5.2965	0.43771	2	43	n/a
6	3	0.43949	n/a	2.5	3	2	1	0	4.5187	0.46749	1	42	n/a
6	4	0.45813	n/a	2	2	1	1	1	3.4089	0.5790999999999999	1	41	n/a
6	5	0.52011	n/a	3.125	4	2	2	1	5.1241	0.58005	1	40	n/a
6	6	0.46973	n/a	3.9063	5	1	2	0	5.2291	0.47347	2	42	n/a
6	7	0.49412	n/a	1.6	1	1	1	1	4.3328	0.5049400000000001	1	41	n/a
6	8	0.53578	n/a	2	2	2	2	1	3.4436	0.55341	1	40	n/a
6	9	0.46725	n/a	1.6	1	2	2	1	3.7926	0.40268	1	39	n/a
6	10	0.51636	n/a	2.5	3	2	2	1	4.078	0.5323600000000001	2	41	n/a
3	1	0.57525	1.7919	n/a	n/a	n/a	n/a	n/a	n/a	0.56998	3	40	0.16
3	2	0.46496	1.6283	n/a	n/a	n/a	n/a	n/a	n/a	0.5371899999999999	3	39	0.17
3	3	0.46892	1.7227	n/a	n/a	n/a	n/a	n/a	n/a	0.46475	3	38	0.18
3	4	0.40212	1.7366	n/a	n/a	n/a	n/a	n/a	n/a	0.43635	3	37	0.19
3	5	0.5274799999999999	1.9869	n/a	n/a	n/a	n/a	n/a	n/a	0.59218	3	36	0.2
3	6	0.48938	1.9221	n/a	n/a	n/a	n/a	n/a	n/a	0.49161	3	35	0.21
3	7	0.47148	2.1038	n/a	n/a	n/a	n/a	n/a	n/a	0.41964	3	34	0.22
3	8	0.40527	2.1628	n/a	n/a	n/a	n/a	n/a	n/a	0.54283	3	33	0.23
3	9	0.5777	2.1902	n/a	n/a	n/a	n/a	n/a	n/a	0.47485	3	32	0.24
3	10	0.48391	2.4331	n/a	n/a	n/a	n/a	n/a	n/a	0.42036	4	34	0.25
6	1	0.59317	n/a	2.5	3	1	2	0	4.6376	0.55076	1	33	n/a
6	2	0.41276	n/a	2	2	1	2	0	3.3367	0.43059	2	35	n/a
6	3	0.5770999999999999	n/a	2.5	3	2	1	0	4.4029	0.50668	1	34	n/a
6	4	0.50164	n/a	3.125	4	2	1	0	4.6712	0.55482	2	36	n/a
6	5	0.55089	n/a	1.6	1	1	2	0	2.9762	0.41984	2	38	n/a
6	6	0.4712	n/a	2	2	2	2	1	4.8853	0.53633	1	37	n/a
6	7	0.57212	n/a	3.9063	5	1	2	0	5.3419	0.40457	2	39	n/a
6	8	0.5845	n/a	3.125	4	2	2	1	5.1103	0.49058	1	38	n/a
6	9	0.46803	n/a	3.9063	5	2	1	0	6.8333	0.45144	2	40	n/a
6	10	0.47826	n/a	1.6	1	1	2	0	3.3561	0.57819	2	42	n/a
2	1	0.46972	1.9532	n/a	n/a	n/a	n/a	n/a	n/a	0.50648	5	41	0.16
2	2	0.4069	1.5488	n/a	n/a	n/a	n/a	n/a	n/a	0.5354100000000001	4	43	0.17
2	3	0.46747	1.4857	n/a	n/a	n/a	n/a	n/a	n/a	0.41103	3	42	0.16
2	4	0.47494	1.3992	n/a	n/a	n/a	n/a	n/a	n/a	0.52342	3	41	0.17
2	5	0.44486	1.7376	n/a	n/a	n/a	n/a	n/a	n/a	0.58835	4	43	0.18
2	6	0.57628	2.0979	n/a	n/a	n/a	n/a	n/a	n/a	0.55414	5	42	0.17
2	7	0.44235	1.919	n/a	n/a	n/a	n/a	n/a	n/a	0.55668	5	41	0.18
2	8	0.59629	1.3447	n/a	n/a	n/a	n/a	n/a	n/a	0.45068	3	40	0.19
2	9	0.55684	1.6585	n/a	n/a	n/a	n/a	n/a	n/a	0.44737	4	42	0.2
2	10	0.58927	1.6491	n/a	n/a	n/a	n/a	n/a	n/a	0.46866	4	44	0.19
2	1	0.56737	1.8022	n/a	n/a	n/a	n/a	n/a	n/a	0.56942	4	46	0.18
2	2	0.45923	1.5406	n/a	n/a	n/a	n/a	n/a	n/a	0.40828	4	48	0.17
2	3	0.56965	1.4305	n/a	n/a	n/a	n/a	n/a	n/a	0.54138	3	47	0.16
2	4	0.53645	1.5309	n/a	n/a	n/a	n/a	n/a	n/a	0.41022	4	49	0.17
2	5	0.52726	1.6457	n/a	n/a	n/a	n/a	n/a	n/a	0.4053	4	51	0.16
2	6	0.41506	1.5963	n/a	n/a	n/a	n/a	n/a	n/a	0.55204	4	53	0.15
2	7	0.4843	1.6521	n/a	n/a	n/a	n/a	n/a	n/a	0.42713	4	55	0.14
2	8	0.56375	1.7945	n/a	n/a	n/a	n/a	n/a	n/a	0.40116	5	54	0.13
2	9	0.48081	1.7212	n/a	n/a	n/a	n/a	n/a	n/a	0.4121	4	56	0.14
2	10	0.47146	1.3373	n/a	n/a	n/a	n/a	n/a	n/a	0.56752	3	55	0.13
6	1	0.59595	n/a	3.9063	5	2	1	0	5.6186	0.5986	2	57	n/a
6	2	0.54613	n/a	3.9063	5	2	1	0	5.5417	0.55636	2	59	n/a
6	3	0.5958	n/a	2	2	2	2	1	3.3885	0.50837	1	58	n/a
6	4	0.49553	n/a	3.125	4	2	1	0	4.9459	0.59933	2	60	n/a
6	5	0.48868	n/a	1.6	1	1	1	1	3.1397	0.53942	1	59	n/a
6	6	0.56876	n/a	2.5	3	1	1	1	4.067	0.55785	2	61	n/a
6	7	0.49701	n/a	3.125	4	2	1	0	4.6375	0.57706	2	63	n/a
6	8	0.46649	n/a	1.6	1	2	1	0	3.2004	0.53204	2	65	n/a
6	9	0.47793	n/a	2	2	1	1	1	4.2876	0.44532	1	64	n/a
6	10	0.4827	n/a	2.5	3	1	1	1	4.0434	0.40896	2	66	n/a
5	1	0.47262	n/a	2.5781	5	2	2	1	4.4298	0.46224	1	65	n/a
5	2	0.55349	n/a	1.32	2	2	2	1	3.1918	0.47374	1	64	n/a
5	3	0.46491	n/a	2.0625	4	1	1	1	3.5586	0.46065	1	63	n/a
5	4	0.4804	n/a	1.65	3	2	1	0	3.5294	0.58213	1	62	n/a
5	5	0.54893	n/a	1.32	2	1	1	1	3.0976	0.40072	1	61	n/a
5	6	0.53386	n/a	2.0625	4	1	1	1	3.7294	0.59055	1	60	n/a
