block	trial	preBeepTime	responseTime	computerRT	computerRespCondition	judgementMapping	participantResponse	participantJudgement	guessTime	preFeedbackTime	fbCondition	totalPoints	thisTrialMargin
6	1	0.57222	n/a	3.125	4	2	1	0	7.4833	0.43314	2	2	n/a
6	2	0.40314	n/a	3.9063	5	1	2	0	5.809	0.45617	2	4	n/a
6	3	0.50095	n/a	1.6	1	2	1	0	3.2119	0.45988	2	6	n/a
6	4	0.4192	n/a	3.125	4	1	2	0	4.5656	0.4171	2	8	n/a
6	5	0.5243	n/a	2	2	1	1	1	3.4294	0.43572	1	7	n/a
6	6	0.5022	n/a	1.6	1	2	1	0	3.2002	0.57901	2	9	n/a
6	7	0.53105	n/a	2.5	3	1	1	1	3.7418	0.58606	2	11	n/a
6	8	0.44334	n/a	2.5	3	2	2	1	5.484	0.4984	2	13	n/a
6	9	0.59739	n/a	2	2	1	2	0	4.3987	0.59893	2	15	n/a
6	10	0.47674	n/a	3.9063	5	2	1	0	5.5138	0.51681	2	17	n/a
2	1	0.58014	10.412	n/a	n/a	n/a	n/a	n/a	n/a	0.57467	5	16	0.1
2	2	0.5706	1.2137	n/a	n/a	n/a	n/a	n/a	n/a	0.5172	3	15	0.11
2	3	0.40249	1.0381	n/a	n/a	n/a	n/a	n/a	n/a	0.54028	3	14	0.12
2	4	0.44714	1.2053	n/a	n/a	n/a	n/a	n/a	n/a	0.45964	3	13	0.13
2	5	0.5755400000000001	1.3254	n/a	n/a	n/a	n/a	n/a	n/a	0.42715	3	12	0.14
2	6	0.51736	1.6037	n/a	n/a	n/a	n/a	n/a	n/a	0.5466	4	14	0.15
2	7	0.49607	1.6975	n/a	n/a	n/a	n/a	n/a	n/a	0.58166	4	16	0.14
2	8	0.55192	1.6781	n/a	n/a	n/a	n/a	n/a	n/a	0.47347	4	18	0.13
2	9	0.5170400000000001	1.5853	n/a	n/a	n/a	n/a	n/a	n/a	0.45299	4	20	0.12
2	10	0.41197	1.4526	n/a	n/a	n/a	n/a	n/a	n/a	0.44761	3	19	0.11
